# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-GEOD-50191
# Selected columns: 23 (all)
# Timestamp: Mon, 02-Nov-2020 23:33:03
Gene ID	Gene Name	vegetative meristem	internode 6-7	internode 7-8	growth zone of leaf 8	stomatal division zone of leaf 8	symmetrical division zone of leaf 8	mature leaf 8	primary root	root cortex	root differentiation zone	root elongation zone	secondary root	mature pollen	mature female spikelet	2-4 mm from tip of ear primordium	6-8 mm from tip of ear primordium	unpollinated silk	endosperm 12 days after pollination	endosperm crown	pericarp and aleurone	embryo 20 days after pollination	embryo 38 days after pollination	germinated embryo 2 days after imbibition
Zm00001d034793	Zm00001d034793	92.0	112.0	110.0	36.0	40.0	24.0	14.0	158.0	214.0	157.0	211.0	160.0	83.0	129.0	17.0	23.0	175.0	82.0	34.0	27.0	25.0	46.0	90.0
Zm00001d034795	prohibitin4	172.0	106.0	131.0	44.0	79.0	106.0	43.0	135.0	45.0	246.0	100.0	125.0	4.0	175.0	121.0	105.0	102.0	189.0	24.0	24.0	118.0	86.0	48.0
Zm00001d034796	Zm00001d034796	5.0	2.0	2.0	4.0	5.0	5.0	7.0	2.0	5.0	3.0	2.0	2.0	1.0	1.0	4.0	5.0	6.0	3.0	2.0	5.0	6.0	6.0	5.0
Zm00001d034797	Zm00001d034797	13.0	9.0	10.0	5.0	9.0	11.0	10.0	6.0	2.0	14.0	4.0	6.0		5.0	11.0	9.0	3.0	6.0	2.0	5.0	9.0	6.0	8.0
Zm00001d034799	Zm00001d034799	27.0	28.0	29.0	32.0	26.0	30.0	17.0	19.0	26.0	26.0	16.0	22.0	2.0	29.0	32.0	31.0	19.0	30.0	2.0	9.0	28.0	14.0	20.0
Zm00001d034800	Zm00001d034800		0.1			0.1	0.4									0.1	0.2		0.1		0.2	0.4	0.1	0.2
Zm00001d034801	Zm00001d034801																	1.0			0.1	0.3		
Zm00001d034802	Zm00001d034802								0.1	0.1			0.2								0.8	1.0		
Zm00001d034803	Zm00001d034803		0.2			0.1		0.2	0.4	1.0		0.2	0.9					0.1	0.1		0.7	1.0		
Zm00001d034804	Zm00001d034804	3.0	1.0	1.0	4.0	5.0	4.0	13.0	0.4	1.0	0.5	0.3	0.2	12.0	0.9	4.0	4.0	2.0	2.0	0.4	1.0	5.0	2.0	2.0
Zm00001d034805	Zm00001d034805	30.0	25.0	27.0	39.0	43.0	39.0	26.0	19.0	11.0	31.0	25.0	18.0	15.0	22.0	33.0	37.0	20.0	37.0	41.0	31.0	34.0	46.0	27.0
Zm00001d034807	Zm00001d034807	82.0	147.0	141.0	67.0	31.0	52.0	54.0	194.0	228.0	111.0	213.0	223.0	0.2	245.0	81.0	87.0	213.0	64.0	27.0	50.0	113.0	99.0	104.0
Zm00001d034808	Zm00001d034808	6.0	11.0	8.0	23.0	8.0	3.0	71.0	3.0	3.0	4.0	2.0	2.0	3.0	16.0	2.0	3.0	31.0	2.0	0.5	2.0	4.0	4.0	5.0
Zm00001d034809	Zm00001d034809	33.0	20.0	19.0	22.0	38.0	42.0	14.0	9.0	3.0	24.0	8.0	10.0	0.2	10.0	53.0	46.0	5.0	15.0	5.0	10.0	32.0	22.0	17.0
Zm00001d034810	Zm00001d034810	6.0	1.0	0.4	14.0	38.0	24.0	20.0	0.8	0.2	5.0	2.0	0.7	1.0	0.1	10.0	14.0	0.2	3.0	4.0	12.0	9.0	21.0	14.0
Zm00001d034813	FAR1-like-transcription factor 3	13.0	7.0	6.0	9.0	11.0	12.0	16.0	6.0	8.0	10.0	5.0	5.0		4.0	11.0	12.0	2.0	5.0	4.0	7.0	7.0	10.0	12.0
Zm00001d034814	Zm00001d034814	20.0	16.0	12.0	12.0	12.0	11.0	11.0	10.0	14.0	17.0	9.0	10.0	9.0	14.0	15.0	15.0	18.0	18.0	12.0	21.0	16.0	19.0	22.0
Zm00001d034815	Zm00001d034815							0.2								0.1				0.1	0.1			
Zm00001d034817	Zm00001d034817	18.0	19.0	27.0	14.0	12.0	15.0	12.0	18.0	19.0	8.0	16.0	16.0	1.0	25.0	26.0	25.0	21.0	11.0	10.0	15.0	18.0	13.0	14.0
Zm00001d034818	Zm00001d034818	6.0	2.0	2.0	51.0	25.0	9.0	0.1	1.0	0.6	0.2	0.3	1.0		31.0	3.0	3.0	3.0	2.0	0.1	0.6	3.0	2.0	5.0
Zm00001d034819	Zm00001d034819	0.2	0.1				0.1	0.8							0.5			0.3		0.1	0.2		0.1	
Zm00001d034822	Zm00001d034822	0.3		0.5				0.4	0.3	5.0	0.3	0.2	0.7	1155.0	4.0	0.5		2.0			0.3	0.1		0.2
Zm00001d034823	Zm00001d034823	2.0	0.7	0.4	2.0	3.0	2.0	2.0	0.2	0.3	0.8	0.2	0.2	1.0	0.2	2.0	3.0	0.3	1.0	0.6	2.0	1.0	2.0	2.0
Zm00001d034824	Zm00001d034824	25.0	20.0	18.0	16.0	16.0	19.0	21.0	17.0	19.0	16.0	21.0	19.0	0.3	43.0	26.0	25.0	39.0	73.0	11.0	22.0	28.0	27.0	39.0
Zm00001d034826	Zm00001d034826	27.0	23.0	22.0	50.0	37.0	73.0	24.0	27.0	6.0	69.0	22.0	30.0	0.1	10.0	69.0	63.0	6.0	37.0	8.0	28.0	38.0	34.0	49.0
Zm00001d034827	Zm00001d034827	0.1	0.1				0.1		0.1						0.2			0.1	1.0	0.4	10.0	12.0	9.0	5.0
Zm00001d034828	Zm00001d034828	9.0	7.0	7.0	8.0	8.0	7.0	70.0	4.0	4.0	5.0	2.0	4.0	6.0	5.0	11.0	10.0	6.0	1.0	0.3	2.0	19.0	9.0	8.0
Zm00001d034829	Zm00001d034829	3.0	7.0	6.0	0.4	0.8	1.0	4.0	10.0	15.0	4.0	6.0	11.0	0.9	0.8	1.0	1.0	3.0	1.0	0.4	24.0	5.0	2.0	3.0
Zm00001d034830	Zm00001d034830	0.1	0.1	0.1		0.1																0.1		
Zm00001d034832	Zm00001d034832	5.0	5.0	3.0	14.0	9.0	9.0	12.0	3.0	3.0	3.0	3.0	3.0	0.8	2.0	7.0	7.0	4.0	3.0	1.0	2.0	9.0	9.0	5.0
Zm00001d034833	Zm00001d034833	14.0	15.0	14.0	14.0	13.0	9.0	13.0	16.0	21.0	17.0	21.0	17.0	1.0	12.0	9.0	9.0	16.0	13.0	6.0	8.0	8.0	9.0	20.0
Zm00001d034834	Zm00001d034834	17.0	11.0	8.0	25.0	21.0	26.0	42.0	6.0	15.0	6.0	4.0	5.0	14.0	7.0	42.0	60.0	6.0	6.0	4.0	17.0	25.0	8.0	12.0
Zm00001d034835	Zm00001d034835	3.0	3.0	2.0	9.0	9.0	7.0	10.0	3.0	2.0	3.0	3.0	2.0	0.5	0.8	10.0	12.0	1.0	4.0	1.0	5.0	5.0	5.0	6.0
Zm00001d034836	Zm00001d034836	2.0	2.0	1.0	4.0	0.1	0.9	6.0	33.0	59.0	2.0	20.0	33.0	0.1	9.0		0.4	36.0	1.0	0.1	5.0	0.3	0.1	0.6
Zm00001d034837	Zm00001d034837					0.1																		
Zm00001d034838	Zm00001d034838	6.0	3.0	4.0	7.0	5.0	7.0	11.0	0.5	0.1	1.0	0.2	0.5		11.0	5.0	5.0	9.0	4.0	2.0	1.0	4.0	6.0	1.0
Zm00001d034839	Zm00001d034839	9.0	7.0	7.0	1.0	3.0	5.0	4.0	13.0	7.0	17.0	13.0	11.0	145.0	100.0	10.0	20.0	28.0	56.0	34.0	33.0	12.0	20.0	149.0
Zm00001d034840	Zm00001d034840	8.0	6.0	6.0	7.0	18.0	14.0		2.0	0.4	6.0	1.0	1.0		2.0	11.0	12.0	0.6	2.0	0.1	0.5	5.0	2.0	2.0
Zm00001d034841	Zm00001d034841	39.0	19.0	28.0	15.0	16.0	20.0	3.0	12.0	12.0	10.0	11.0	10.0		39.0	26.0	22.0	22.0	21.0	5.0	9.0	24.0	14.0	12.0
Zm00001d034842	Zm00001d034842	5.0	5.0	4.0	12.0	13.0	7.0	2.0	3.0	1.0	7.0	6.0	3.0	0.2	3.0	5.0	5.0	2.0	4.0	1.0	3.0	5.0	8.0	7.0
Zm00001d034844	Zm00001d034844							0.1						8.0						0.2	5.0	0.5	16.0	4.0
Zm00001d034847	Zm00001d034847	0.1	0.1				0.1													0.1	0.2	3.0	2.0	
Zm00001d034848	Zm00001d034848														0.1				0.1	0.6	6.0	4.0	75.0	1.0
Zm00001d034849	Zm00001d034849	6.0	5.0	5.0	5.0	5.0	4.0	3.0	5.0	6.0	8.0	5.0	6.0	0.1	7.0	6.0	5.0	7.0	9.0	4.0	4.0	5.0	7.0	8.0
Zm00001d034851	Zm00001d034851	18.0	18.0	21.0	18.0	24.0	30.0	2.0	20.0	0.7	43.0	9.0	16.0	18.0	13.0	31.0	31.0	2.0	15.0	0.4	2.0	27.0	6.0	15.0
Zm00001d034852	Zm00001d034852	15.0	5.0	5.0	12.0	15.0	12.0	237.0	2.0	9.0	3.0	0.8	3.0	0.5	4.0	7.0	9.0	15.0	4.0	2.0	13.0	8.0	15.0	12.0
Zm00001d034853	Zm00001d034853	15.0	14.0	13.0	9.0	9.0	6.0	15.0	7.0	16.0	4.0	2.0	7.0	0.2	18.0	5.0	5.0	17.0	6.0	1.0	12.0	10.0	12.0	8.0
Zm00001d034854	Zm00001d034854					0.2	0.2										0.2		0.1					0.2
Zm00001d034855	Zm00001d034855	154.0	227.0	200.0	79.0	100.0	67.0	34.0	222.0	83.0	430.0	277.0	193.0	2.0	120.0	46.0	45.0	91.0	192.0	43.0	52.0	71.0	97.0	158.0
Zm00001d034856	elongation factor TU mitochondrial1	62.0	78.0	70.0	64.0	82.0	94.0	21.0	84.0	14.0	210.0	82.0	90.0	0.8	48.0	116.0	83.0	23.0	113.0	8.0	18.0	98.0	43.0	108.0
Zm00001d034857	Zm00001d034857	10.0	13.0	12.0	13.0	8.0	6.0	110.0	19.0	31.0	24.0	16.0	21.0	0.2	18.0	13.0	14.0	30.0	14.0	2.0	9.0	15.0	12.0	33.0
Zm00001d034858	Zm00001d034858	38.0	25.0	24.0	24.0	44.0	39.0	16.0	14.0	6.0	30.0	15.0	14.0	0.3	13.0	33.0	34.0	10.0	25.0	8.0	11.0	34.0	23.0	20.0
Zm00001d034859	Zm00001d034859	55.0	49.0	53.0	33.0	28.0	26.0	23.0	49.0	101.0	39.0	59.0	45.0	0.3	66.0	38.0	36.0	77.0	28.0	7.0	36.0	45.0	45.0	61.0
Zm00001d034862	Zm00001d034862	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	2.0	3.0	0.2	1.0	3.0	3.0	1.0	3.0	0.6	2.0	3.0	5.0	4.0
Zm00001d034863	Zm00001d034863	7.0	4.0	3.0	8.0	6.0	4.0	2.0	7.0	11.0	3.0	6.0	6.0	0.6	9.0	6.0	9.0	2.0	2.0	1.0	4.0	8.0	5.0	4.0
Zm00001d034865	Zm00001d034865	3.0	15.0	10.0	12.0	3.0	3.0	50.0	8.0	10.0	1.0	0.4	5.0	0.1	24.0	3.0	3.0	29.0	0.8	0.1	1.0	5.0	1.0	2.0
Zm00001d034866	Zm00001d034866	7.0	4.0	4.0	5.0	8.0	6.0	9.0	8.0	13.0	7.0	2.0	7.0	0.5	9.0	9.0	9.0	4.0	2.0	1.0	5.0	6.0	11.0	15.0
Zm00001d034867	Zm00001d034867	83.0	73.0	94.0	44.0	39.0	54.0	28.0	94.0	130.0	41.0	68.0	85.0	22.0	110.0	59.0	61.0	79.0	47.0	22.0	36.0	46.0	95.0	52.0
Zm00001d034868	Zm00001d034868	2.0	1.0	0.5	2.0	3.0	3.0	20.0	0.9	3.0	0.9	0.6	0.8	0.7	0.4	3.0	4.0	2.0	1.0	0.5	7.0	8.0	9.0	12.0
Zm00001d034869	Zm00001d034869	2.0	2.0	1.0			0.1		3.0	1.0		0.4	2.0										0.1	0.8
Zm00001d034870	Zm00001d034870	0.7	0.6	0.7	0.4	0.7	0.7	0.5	0.7	0.1	2.0	0.2	0.4		0.1	0.5	0.4	0.2	0.4	0.1	0.3	0.7	0.6	1.0
Zm00001d034871	derlin4	11.0	8.0	10.0	6.0	5.0	7.0	9.0	7.0	10.0	4.0	8.0	7.0	0.5	16.0	9.0	8.0	12.0	8.0	9.0	7.0	2.0	4.0	7.0
Zm00001d034872	CCAAT-HAP5-transcription factor 54	15.0	12.0	14.0	5.0	15.0	16.0	2.0	6.0	0.8	18.0	2.0	6.0		4.0	15.0	10.0	0.6	5.0	0.1	0.5	8.0	5.0	6.0
Zm00001d034874	Zm00001d034874	0.8	4.0	2.0	2.0	1.0	0.7	0.1	17.0	8.0	11.0	18.0	17.0		2.0	0.2	0.4	0.7	0.2	0.1	3.0	1.0	1.0	8.0
Zm00001d034875	Zm00001d034875		0.2		0.1	0.2	0.1	0.2	8.0	6.0		1.0	8.0			0.1			0.7	59.0	33.0		0.1	0.4
Zm00001d034876	Zm00001d034876	38.0	27.0	33.0	13.0	21.0	28.0	7.0	25.0	6.0	44.0	15.0	24.0	5.0	24.0	35.0	28.0	10.0	20.0	2.0	6.0	18.0	21.0	16.0
Zm00001d034877	Zm00001d034877	5.0	2.0	2.0	3.0	7.0	7.0	0.7	0.5	0.2	0.3	0.4	0.4		2.0	9.0	10.0	0.7	0.5	0.1	0.5	4.0	1.0	0.8
Zm00001d034878	Zm00001d034878	8.0	8.0	10.0	9.0	11.0	12.0	0.8	3.0	1.0	3.0	2.0	2.0		6.0	6.0	6.0	5.0	3.0	0.3	3.0	3.0	3.0	4.0
Zm00001d034879	Zm00001d034879	9.0	9.0	9.0	8.0	11.0	9.0	5.0	6.0	2.0	8.0	3.0	6.0	0.6	5.0	6.0	6.0	2.0	5.0	4.0	6.0	3.0	10.0	7.0
Zm00001d034880	Zm00001d034880	73.0	89.0	104.0	30.0	38.0	35.0	26.0	81.0	39.0	127.0	58.0	86.0	0.8	95.0	24.0	28.0	38.0	47.0	14.0	18.0	30.0	42.0	59.0
Zm00001d034881	Zm00001d034881	4.0			0.8	0.9		3.0											0.4			0.5	2.0	1.0
Zm00001d034882	defective kernel2	4.0	5.0	8.0	3.0	6.0	5.0	3.0	5.0	0.6	8.0	1.0	4.0		3.0	3.0	3.0	2.0	5.0	0.4	2.0	3.0	6.0	4.0
Zm00001d034883	Zm00001d034883	8.0	11.0	11.0	12.0	16.0	20.0	5.0	9.0	2.0	23.0	6.0	9.0	0.1	4.0	17.0	16.0	4.0	13.0	1.0	5.0	16.0	8.0	11.0
Zm00001d034884	Zm00001d034884	10.0	9.0	7.0	6.0	12.0	9.0	16.0	10.0	10.0	10.0	10.0	10.0	5.0	14.0	5.0	4.0	16.0	4.0	0.2	8.0	15.0	5.0	20.0
Zm00001d034885	Zm00001d034885	21.0	39.0	35.0	31.0	21.0	17.0	7.0	35.0	18.0	23.0	46.0	33.0	0.4	13.0	14.0	13.0	9.0	16.0	3.0	9.0	12.0	13.0	23.0
Zm00001d034886	HSF-transcription factor 5	44.0	40.0	61.0	25.0	25.0	33.0	39.0	41.0	48.0	39.0	25.0	45.0	1.0	56.0	38.0	35.0	39.0	21.0	13.0	18.0	24.0	53.0	47.0
Zm00001d034887	Zm00001d034887	14.0	15.0	13.0	17.0	15.0	14.0	27.0	14.0	29.0	14.0	12.0	13.0	3.0	8.0	11.0	8.0	10.0	3.0	1.0	4.0	15.0	15.0	18.0
Zm00001d034888	WRKY-transcription factor 10	9.0	3.0	3.0	4.0	7.0	10.0	0.2							2.0	2.0	5.0				0.4	0.5	0.1	0.2
Zm00001d034890	Zm00001d034890	25.0	30.0	26.0	18.0	13.0	8.0	29.0	34.0	30.0	38.0	22.0	31.0	0.1	11.0	11.0	9.0	10.0	6.0	1.0	6.0	15.0	11.0	25.0
Zm00001d034891	MYB-related-transcription factor 104	8.0	20.0	15.0		0.1	0.2								0.2			0.2						
Zm00001d034892	pentatricopeptide repeat53	3.0	3.0	5.0	9.0	3.0	3.0	11.0	2.0	0.8	3.0	0.6	2.0	0.1	5.0	2.0	1.0	1.0	2.0	4.0	2.0	1.0	2.0	8.0
Zm00001d034893	Zm00001d034893	42.0	61.0	50.0	98.0	67.0	44.0	26.0	50.0	85.0	35.0	105.0	46.0	2.0	64.0	36.0	38.0	129.0	41.0	11.0	23.0	31.0	11.0	41.0
Zm00001d034894	Zm00001d034894	16.0	14.0	16.0	10.0	17.0	24.0	6.0	10.0	6.0	21.0	5.0	12.0	0.1	7.0	29.0	24.0	3.0	7.0	3.0	6.0	14.0	14.0	12.0
Zm00001d034896	AKINbetagamma-1 protein kinase	18.0	21.0	18.0	16.0	15.0	13.0	9.0	21.0	17.0	18.0	19.0	21.0	22.0	12.0	13.0	11.0	8.0	18.0	15.0	16.0	13.0	15.0	21.0
Zm00001d034897	Zm00001d034897	11.0	14.0	10.0	35.0	17.0	8.0	239.0	3.0	4.0	2.0	2.0	3.0	0.8	51.0	10.0	14.0	32.0	0.8	0.4	8.0	15.0	13.0	14.0
Zm00001d034898	gibberellin 20-oxidase1	11.0	3.0	4.0	9.0	3.0	2.0	1.0	19.0	28.0	8.0	20.0	26.0		80.0	11.0	15.0	5.0	2.0	8.0	13.0	3.0	4.0	5.0
Zm00001d034900	Zm00001d034900	0.9	2.0	1.0	3.0	1.0	1.0	136.0	3.0	6.0	2.0	2.0	4.0		2.0	1.0	1.0	5.0	0.6	0.1	0.6	1.0	2.0	2.0
Zm00001d034901	Zm00001d034901	21.0	31.0	38.0	11.0	22.0	10.0	0.8	7.0	11.0	7.0	9.0	15.0		19.0	4.0	6.0	16.0	2.0	0.1	0.2	1.0	0.5	3.0
Zm00001d034902	Zm00001d034902									0.1								0.1						
Zm00001d034904	Zm00001d034904	1.0	0.3	0.1	3.0	5.0	3.0	15.0	0.2	0.3	0.8	0.2	0.1		0.3	3.0	3.0	1.0	0.7	1.0	1.0	1.0	2.0	2.0
Zm00001d034914	Zm00001d034914	23.0	19.0	21.0	39.0	41.0	51.0	19.0	12.0	4.0	29.0	10.0	12.0	0.2	7.0	58.0	47.0	3.0	49.0	9.0	17.0	34.0	17.0	27.0
Zm00001d034915	Zm00001d034915	17.0	22.0	24.0	15.0	14.0	16.0	11.0	22.0	10.0	25.0	22.0	25.0	0.8	27.0	12.0	12.0	11.0	14.0	4.0	11.0	20.0	33.0	15.0
Zm00001d034916	Zm00001d034916		1.0	0.8	0.5	0.2		0.7	1.0				2.0		0.8	0.1	0.1	1.0	5.0	0.9	0.5		0.3	0.2
Zm00001d034917	Zm00001d034917		0.3	0.1				1.0	0.1	0.3					0.2			52.0	0.1		4.0			0.9
Zm00001d034918	Zm00001d034918	14.0	10.0	9.0	14.0	20.0	16.0	4.0	5.0	0.9	9.0	7.0	5.0	0.2	5.0	11.0	15.0	2.0	9.0	2.0	3.0	11.0	9.0	7.0
Zm00001d034919	Zm00001d034919	71.0	133.0	96.0	93.0	79.0	61.0	92.0	165.0	36.0	253.0	133.0	172.0	0.9	95.0	68.0	53.0	66.0	165.0	14.0	30.0	125.0	114.0	138.0
Zm00001d034920	AP2-EREBP-transcription factor 58	0.2	0.2	0.4	0.1	0.2	0.3		0.2	0.1			0.2		0.7	0.3	0.3	0.5				0.2		0.3
Zm00001d034924	Zm00001d034924													2.0										
Zm00001d034925	Zm00001d034925								36.0	92.0	0.1	0.2	20.0	0.1	0.2			9.0			0.6		0.1	0.3
Zm00001d034926	Zm00001d034926							0.1						0.1					0.4	0.1	0.1			
Zm00001d034927	Zm00001d034927	0.5	0.2	0.2	0.7	0.7	1.0	0.8	0.1	0.2	0.4	0.1	0.1	12.0	0.2	1.0	2.0	0.1	0.6	0.3	0.9	2.0	0.5	0.7
Zm00001d034929	leunig-related3	6.0	6.0	6.0	8.0	7.0	9.0	10.0	4.0	3.0	4.0	7.0	4.0	1.0	5.0	7.0	7.0	3.0	8.0	10.0	8.0	6.0	10.0	11.0
Zm00001d034931	Zm00001d034931	8.0	11.0	7.0	28.0	20.0	21.0	3.0	12.0	9.0	5.0	13.0	10.0	2.0	5.0	16.0	17.0	3.0	6.0	2.0	10.0	11.0	8.0	16.0
Zm00001d034932	Zm00001d034932	3.0	2.0	2.0	6.0	4.0	3.0	21.0	1.0	2.0	2.0	0.6	1.0		3.0	5.0	5.0	3.0	2.0	1.0	2.0	4.0	3.0	2.0
Zm00001d034933	Zm00001d034933	0.5	0.8	0.7	0.7	0.8	0.8	0.6	0.9	0.2	1.0	0.2	0.8		0.6	0.8	1.0	0.7	0.5	0.1	0.9	1.0	2.0	1.0
Zm00001d034934	Zm00001d034934	2.0	4.0	2.0	6.0	2.0	2.0	0.8	1.0	0.4	0.5	0.1	1.0	0.4	1.0	0.9	1.0	0.3	0.1	0.2	0.5	0.5	0.3	3.0
Zm00001d034935	Zm00001d034935	5.0	8.0	6.0	18.0	9.0	9.0	28.0	9.0	6.0	9.0	5.0	9.0	0.1	6.0	8.0	8.0	7.0	9.0	10.0	12.0	6.0	17.0	18.0
Zm00001d034937	Zm00001d034937	18.0	14.0	17.0	11.0	10.0	16.0	43.0	13.0	35.0	9.0	8.0	14.0	0.4	34.0	22.0	23.0	39.0	4.0	8.0	27.0	18.0	25.0	44.0
Zm00001d034940	Zm00001d034940	5.0	5.0	5.0	6.0	4.0	11.0	1.0	4.0	3.0	3.0	4.0	5.0	8.0	1.0	14.0	14.0	1.0	1.0	0.1	2.0	7.0	3.0	5.0
Zm00001d034941	Zm00001d034941	14.0	16.0	16.0	26.0	16.0	15.0	22.0	20.0	39.0	11.0	21.0	18.0	2.0	18.0	16.0	18.0	34.0	5.0	3.0	18.0	16.0	14.0	20.0
Zm00001d034942	Zm00001d034942	2.0	6.0	2.0	2.0	0.5	0.4		2.0	0.6	0.7		2.0		1.0	0.1	0.1	0.2						4.0
Zm00001d034944	Zm00001d034944	4.0	2.0	3.0	0.7	1.0	1.0	2.0	1.0	2.0	0.8	0.8	1.0	2.0	1.0	2.0	2.0	1.0	0.7	0.1	2.0	0.4	0.3	0.5
Zm00001d034946	Zm00001d034946	0.3								0.5				5.0	0.2	0.5	0.3				0.5	0.2		
Zm00001d034948	Zm00001d034948	5.0	3.0	3.0	2.0	2.0	3.0	0.9	1.0	4.0	0.4	2.0	0.9		2.0	2.0	2.0	2.0	0.3	0.1	0.7	0.7	0.9	0.7
Zm00001d034949	GTP-binding protein homolog1	8.0	12.0	11.0	12.0	7.0	9.0	11.0	13.0	36.0	5.0	12.0	13.0	5.0	18.0	8.0	9.0	23.0	13.0	7.0	9.0	8.0	7.0	14.0
Zm00001d034950	Zm00001d034950										0.1	0.1	0.1											
Zm00001d034954	Zm00001d034954	22.0	25.0	21.0	27.0	20.0	23.0	20.0	17.0	23.0	9.0	17.0	18.0	0.5	22.0	22.0	28.0	13.0	29.0	40.0	21.0	12.0	15.0	19.0
Zm00001d034956	Zm00001d034956	6.0	7.0	6.0	8.0	6.0	6.0	6.0	8.0	11.0	8.0	8.0	7.0	1.0	4.0	4.0	5.0	5.0	5.0	0.8	4.0	4.0	2.0	8.0
Zm00001d034957	Zm00001d034957	5.0	7.0	6.0	11.0	11.0	8.0	5.0	15.0	12.0	16.0	14.0	17.0	2.0	6.0	10.0	10.0	4.0	13.0	1.0	4.0	11.0	5.0	13.0
Zm00001d034958	Zm00001d034958	2.0	1.0	0.9	2.0		1.0	7.0		2.0	0.8	0.9	0.7			0.8	2.0		1.0		1.0	1.0		3.0
Zm00001d034961	Zm00001d034961				0.1	0.1	0.1	0.2								0.1	0.1		0.1		0.2			0.1
Zm00001d034962	embryo specific2	3.0	3.0	3.0	7.0	5.0	5.0	12.0	1.0	1.0	2.0	0.4	1.0	2.0	1.0	4.0	5.0	1.0	3.0	2.0	2.0	3.0	3.0	3.0
Zm00001d034964	Zm00001d034964	4.0	3.0	3.0	5.0	5.0	5.0	3.0	2.0	1.0	4.0	2.0	2.0	0.2	1.0	4.0	4.0	0.8	2.0	2.0	4.0	3.0	7.0	5.0
Zm00001d034965	ABI3-VP1-transcription factor 49	23.0	20.0	20.0	41.0	31.0	24.0	7.0	3.0	2.0	9.0	3.0	4.0	0.2	10.0	21.0	20.0	9.0	14.0	3.0	5.0	14.0	9.0	9.0
Zm00001d034967	Zm00001d034967	2.0	1.0	0.9	3.0	9.0	6.0	3.0	0.4	0.4	3.0	0.3	0.1	0.5	0.3	4.0	4.0	0.5	1.0	0.2	2.0	3.0	5.0	4.0
Zm00001d034968	Zm00001d034968	5.0	4.0	4.0	6.0	9.0	10.0	3.0	1.0	0.6	3.0	1.0	1.0		3.0	11.0	11.0	1.0	4.0	0.9	2.0	8.0	3.0	3.0
Zm00001d034969	Zm00001d034969	0.3	0.4	0.3	1.0	0.8	0.1	79.0	0.1	0.2		0.1	0.1		4.0	0.1	0.3	13.0	0.5		0.2	0.1		0.3
Zm00001d034970	Zm00001d034970	10.0	12.0	10.0	16.0	15.0	11.0	12.0	12.0	6.0	22.0	17.0	15.0	0.1	5.0	7.0	8.0	3.0	10.0	1.0	6.0	8.0	9.0	16.0
Zm00001d034971	Zm00001d034971																		0.5	0.6	1.0			
Zm00001d034973	OVATE-transcription factor 24														0.9									
Zm00001d034976	Zm00001d034976							0.9	0.1	0.7			0.3	0.7										
Zm00001d034977	Zm00001d034977	0.3	33.0	5.0	4.0	0.5	0.2	30.0	83.0	183.0	3.0	1.0	107.0	0.1	25.0	0.1	0.2	107.0	0.3	4.0	12.0		2.0	63.0
Zm00001d034978	Zm00001d034978	0.2	4.0	0.7	0.7			814.0	13.0	107.0	0.1	0.7	16.0		53.0	0.6	1.0	342.0	0.2		2.0	0.6		25.0
Zm00001d034981	Zm00001d034981													0.1										
Zm00001d034983	Zm00001d034983				0.1			0.1	0.1	0.1				0.2	0.1			0.1			0.2		0.2	0.2
Zm00001d034984	NAC-transcription factor 62	0.6	1.0	0.8	0.1	0.1	0.2		3.0	1.0		2.0	3.0		0.8	0.1	0.2	0.9					0.1	2.0
Zm00001d034986	Zm00001d034986				0.2			2.0	3.0	5.0			4.0						0.1	12.0	95.0	0.8	5.0	16.0
Zm00001d034989	Zm00001d034989	0.7	0.9	1.0	2.0	5.0	4.0	5.0	0.7	0.1	2.0	0.4	0.7	0.2	0.2	2.0	3.0	0.1	1.0	0.1	1.0	2.0	3.0	1.0
Zm00001d034990	Zm00001d034990	1.0	1.0	0.9	0.7	0.2	0.3	4.0	8.0	15.0	5.0	10.0	8.0	5.0	5.0	4.0	5.0	6.0	8.0	8.0	4.0	5.0	7.0	16.0
Zm00001d034991	Zm00001d034991	10.0	18.0	13.0	7.0	5.0	4.0	8.0	137.0	156.0	7.0	25.0	111.0	26.0	16.0	11.0	7.0	12.0	6.0	6.0	26.0	8.0	13.0	15.0
Zm00001d034992	Zm00001d034992							0.1	0.8	4.0	0.2	0.3	1.0							0.1	0.2	1.0	0.2	0.1
Zm00001d034994	Zm00001d034994																		0.5	0.3	0.6			
Zm00001d034995	Zm00001d034995	0.4	1.0	0.5	0.4	0.2	0.1		27.0	33.0	0.5	15.0	24.0	3.0	1.0	0.2	0.1	3.0	2.0	9.0	16.0	0.1	0.1	3.0
Zm00001d034996	Zm00001d034996	4.0	5.0	5.0	5.0	5.0	5.0	4.0	6.0	3.0	9.0	6.0	6.0	17.0	2.0	7.0	5.0	2.0	8.0	4.0	5.0	5.0	6.0	5.0
Zm00001d034998	Zm00001d034998	11.0	19.0	16.0	12.0	11.0	11.0	15.0	7.0	4.0	3.0	3.0	4.0	0.9	23.0	10.0	10.0	14.0	10.0	2.0	11.0	15.0	15.0	20.0
Zm00001d035000	Zm00001d035000	0.2	0.1	0.2	2.0	0.4	0.3	14.0	1.0	8.0	0.3	0.5	0.6		6.0	2.0	0.6	4.0	2.0	29.0	358.0	164.0	3619.0	66.0
